GEO1_MX,State,Unilateral
484001,Aguascalientes,2015
484002,Baja California,2016
484003,Baja California Sur,2017
484004,Campeche,2014
484005,Coahuila de Zaragoza,2013
484006,Colima,2016
484007,Chiapas,2014
484008,Chihuahua,2016
484009,Distrito Federal,2008
484010,Durango,2016
484011,Guanajuato,2015
484012,Guerrero,2012
484013,Hidalgo,2011
484014,Jalisco,2016
484015,México,2012
484016,Michoacán de Ocampo,2016
484017,Morelos,2016
484018,Nayarit,2015
484019,Nuevo León,2014
484020,Oaxaca,2017
484021,Puebla,2016
484022,Querétaro,2015
484023,Quintana Roo,2014
484024,San Luis Potosí,2016
484025,Sinaloa,2013
484026,Sonora,2015
484027,Tabasco,2015
484028,Tamaulipas,2014
484029,Tlaxcala,2016
484030,Veracruz de Ignacio de la Llave,2015
484031,Yucatán,2013
484032,Zacatecas,2017